Frage,Antwort,Referenz
Welche grundsätzlichen Verhaltensregeln (Code of Conduct) gelten für Mitglieder der Emergency Response Organisation?,"Laut dem KISTERS BCM-Handbuch [6] gelten folgende grundlegenden Verhaltensregeln (Code of Conduct) für Mitglieder der Emergency Response Organisation:

1. Die Arbeit der EMT basiert auf den bestehenden Notfallplänen. Wenn es keine Notfallpläne gibt oder diese nicht wirksam sind, müssen die Arbeitsmethoden auf dem FOR-DEC-Management-Zyklus beruhen.
2. Die EMT hat Arbeit- und Besprechungsphasen (Situationssitzungen). Diese müssen klar definiert und allen Mitgliedern der EMT kommuniziert werden.

Außerdem wird in Abschnitt 9.1.4 des Handbuchs angegeben:

Die Mitglieder der EMT haben sich an die in Abschnitt 7.1 festgelegten Verhaltensregeln zu halten und insbesondere sicherzustellen, dass alle Maßnahmen und Entscheidungen im Sinne des Notfalls getroffen werden.

Zusätzlich wird in Abschnitt 9.1.3 angegeben:

Der Vorsitzende der EMT hat die Autorität, die EMT anzuführen und zu entscheiden, was den Notfall betrifft. Der Vorsitzende sollte Empfehlungen und Bewertungen von EMT-Mitgliedern in seine Entscheidungsfindung einbeziehen.

Im Abschnitt 9.1.7 wird erwähnt:

Der Umfang der Haftung der Mitglieder der EMT ist auf Vorsatz und grobe Fahrlässigkeit beschränkt.

Diese Verhaltensregeln sollen sicherstellen, dass die Mitglieder der Emergency Response Organisation ihre Aufgaben effektiv erfüllen und im Falle eines Notfalls eine geordnete und entschlossene Reaktion leisten.",BCM Handbook – 9.1.4 Code of Conduct
Welche Kommunikationsmittel nutzt KISTERS im Notfall?,"Laut dem Dokument ""KISTERS_BCM_9-EP-Internal_IT-Communication.pdf"" | Section: 2 Phone system [Emergency Operation] wird in einem Notfall die Alternative Telefonnummer für zentralisierte Funktionen auf der offiziellen Website von KISTERS veröffentlicht. Des Weiteren wird Microsoft Teams für interne Kommunikation verwendet.

Quelle: Document: KISTERS_BCM_9-EP-Internal_IT-Communication.pdf | Section: 2 Phone system [Emergency Operation]

Darüber hinaus werden weitere Kommunikationsmittel im Dokument ""KISTERS_BCM_1-BCHandbook.pdf"" | Section: 9.2 Communication Media genannt, wie z.B. MS M365 Teams (extern), Mobile communications / virtual working environment, E-Mail (MS M365 Exchange (extern)), Mimecast Email Security (external) usw.

Quelle: Document: KISTERS_BCM_1-BCHandbook.pdf | Section: 9.2 Communication Media",BCM Handbook – 9.2 Communication Media
Welche Kommunikationsmedien sind für die Notfallkommunikation vorgesehen und wo finde ich eine Übersicht dazu?,"Laut dem BCM Handbuch von KISTERS können folgende Kommunikationsmedien in einer Krise verwendet werden:

- Videokonferenz: Microsoft Teams (extern) und Mobile Communications / virtuelle Arbeitsumgebung
- E-Mail: MS M365 Exchange (extern) und Mimecast Email Security (extern)
- Ticket-System: Atlassian Cloud JIRA (extern)
- Öffentliche Website: Google Cloud KISTERS Hauptwebseite (extern)

Eine Übersicht zu den Kommunikationsmedien und ihren Alternativen finden Sie in Tabelle 30 des BCM Handbuchs.",BCM Handbook – 9.2 Communication Media
Warum benötigt KISTERS einen formalen Change-Management-Prozess und welche Ziele werden damit verfolgt?,"Laut dem Dokument ""KISTERS_IS_ChangeManagement.pdf"" | Section: 1.1 Motivation and Objectives bedarf es der Definition eines Methodik und Prozesses zur geplanten und ausgeführten Änderung in einem kontrollierten Rahmen mit minimalem möglichen Risiko. Der Prozess soll

- jede Abnahme des sicheren Niveaus von Organisationen und IT-Systemen, die durch eine Änderung betroffen sind,
- Überlappungen von Änderungen und folgende Berichtigungen ungewünschter Änderungen durch koordinierte Planung und Ausführung von Änderungen vermeiden,
- KISTERS' Gesamtwirksamkeit und Agilität bei der vorhersehbaren und zuverlässigen Reaktion auf neue Geschäftsanforderungen erhöhen,
- sicherstellen, dass Änderungen mit einem kleinen Invest im Zeitraum, Personen und anderen begrenzten Ressourcen ausgeführt werden können.

Somit zielt KISTERS mit dem formalen Change Management Prozess darauf ab, Änderungen effizienter zu planen und durchzuführen sowie das Risiko von Überlappungen und Abnahmen des sicheren Niveaus zu minimieren.",Change Management – 1.1 Motivation and Objectives
Auf welche Systeme und Prozesse bezieht sich die Change-Management-Richtlinie (Scope)?,"Die Change-Management-Richtlinie der KISTERS AG bezieht sich auf die folgenden Systeme und Prozesse:

* IT-Infrastruktur und -Dienste für KISTERScloud
* IT-Infrastruktur und -Dienste für KISTERS Support Services
* Softwareentwicklung bei KISTERS
* Alle Arten von Veränderungen, unabhängig von ihrer Herkunft oder Motivation (z.B. Anpassung oder Verbesserung von Technologie oder Prozessen, Verbesserung der Funktionalität oder Sicherheit, Minderung von Schwachstellen usw.)

[1] KISTERS_IS_ChangeManagement.pdf | Section: 1.2 Scope of this Guideline",Change Management – 1.2 Scope of this Guideline
Welche Rolle hat das (E)CAB bei Major Changes?,"Laut dem Dokument ""KISTERS_IS_ChangeManagement.pdf | Section: 3.2 Tasks"" ist die Rolle des (E)CAB bei Major Changes, dass sie die RfC und Implementierung mit dem Manager reviewt, eine Risikoanalyse durchführt und dokumentiert, falls ein bekanntes Vulnerabilitäts nicht aufgeklärt werden kann [1], die Implementierungspläne genehmigen und die Implementierung autorisieren müssen.

Die Rolle des (E)CAB bei Major Changes besteht also in der Überprüfung, Genehmigung und Autorisierung der Implementierung von Major Changes.",Change Management – 1.3 Roles (E)CAB
Welche Aufgaben übernimmt das (E)CAB bei Major Changes?,"Laut dem Dokument ""KISTERS_IS_ChangeManagement.pdf | Section: 3.2 Tasks"" übernimmt das (E)CAB folgende Aufgaben bei Major Changes:

- Review RfC und Implementierung mit Manager
- Durchführung und Dokumentation von Risikobewertungen (in der Ticket), wenn eine bekannte Schwachstelle nicht behoben werden kann
- Genehmigung oder Ablehnung der Implementierung des Wandels

Quelle: Document: KISTERS_IS_ChangeManagement.pdf | Section: 3.2 Tasks","Change Management – 1.3 Roles, Responsibilities (E)CAB"
Wer kann einen „Request for Change“ anstoßen und welche Rolle hat der „System owner“ dabei?,"Laut dem Dokument ""KISTERS_IS_ChangeManagement.pdf | Section: 1.3 Roles, Responsibilities and Dependencies"" kann jeder Interessententeil (z.B. ein interner oder externer Systembenutzer, Systemeigner, Dienstleistereigner, IT-Administration, Finanzen usw.) einen ""Request for Change"" anstoßen.

Der Systemeigner spielt eine wichtige Rolle in diesem Prozess. Laut dem Dokument ist er verantwortlich für die Evaluierung und Genehmigung des RfC (Reques-for-Change). Er muss sicherstellen, dass der Änderungsvorschlag nicht zu einer Gefährdung oder Beeinträchtigung der IT-Sicherheit führt.

Hier sind die Rolle des Systemeigners im Überblick:

* Evaluierung des RfC: Der Systemeigner muss das Änderungsanliegen prüfen und beurteilen, ob es den Anforderungen entspricht.
* Genehmigung des RfC: Wenn der Systemeigner die Änderung genehmigt hat, wird das RfC an den nächsten Schritt weitergeleitet.

Insgesamt ist der Systemeigner eine zentrale Figur im Change-Management-Prozess von KISTERS AG.","Change Management – 1.3 Roles, Responsibilities and Dependencies"
Welche Rolle hat das (E)CAB bei Major und Emergency Changes?,"Das (E)CAB, oder Emergency Change Advisory Board bzw. Change Advisory Board, spielt bei Major- und Emergency-Changes eine wichtige Rolle.

Bei Major-Changes ist es verpflichtend, dass diese von der CAB genehmigt werden müssen, bevor sie durchgeführt werden können [5].

Bei Emergency-Changes kann die Genehmigung in der Regel nicht vorher eingeholt werden. Die Entscheidung über die Durchführung des Emergency-Changes wird dabei in der Regel auch nachträglich vom ECAB getroffen.

Für alle beiden Arten von Changes ist das (E)CAB jedoch verantwortlich, für eine Risikobewertung und die Sicherstellung einer angemessenen Dokumentation zu sorgen.","Change Management – 1.3 Roles, Responsibilities and Dependencies (E)CAB"
"Welche rechtlichen Anforderungen gelten für Change Management (ISO 27001, SOC2, C5 etc.)?","Laut dem Dokument ""KISTERS_IS_ChangeManagement.pdf"" im Abschnitt ""1.4 Applicable Legal and Regulatory Requirements"" sind folgende rechtliche Anforderungen relevant für das Change Management:

* Compliance mit ISO 27001, SOC 2, BSI C5 und anderen Informationssicherheitsstandards
* Einhaltung individueller Anforderungen von Kunden

Quelle: KISTERS_IS_ChangeManagement.pdf | Section: 1.4 Applicable Legal and Regulatory Requirements",Change Management – 1.4 Legal Requirements
"Was wird in diesem Kontext als „Change“ verstanden, also welche Arten von Änderungen fallen darunter?","Laut dem Dokument ""KISTERS_IS_ChangeManagement.pdf | Section: 2 Definition of Changes"" [1] gilt:

""A change in the context of this guideline means any addition, modification or removal of components within the scope, including but not limited to

* Changes in hardware infrastructure, such as clients, servers, network components or their configuration
* Changes of operating systems or application software, incl. KISTERS solutions
* Changes of infrastructure components such as physical access systems, air conditioning, energy supply, monitoring and alarm systems
* Changes of automated or documented procedures
* Changes of documentation
* Changes of other components which are subject to configuration management""

Das bedeutet, dass ein Change jede Änderung umfasst, die in der IT-Infrastruktur oder den verwendeten Anwendungen vorgenommen wird. Dies reicht von Hardware-Änderungen bis hin zu Software-Updates und Dokumentationsänderungen.",Change Management – 2 Definition of Changes
Welche Schritte umfasst der allgemeine Change-Management-Prozess von der Erstellung bis zur Nachbearbeitung eines Requests for Change (RfC)?,"Der allgemeine Change-Management-Prozess umfasst die folgenden Schritte:

1. **Erstellung**:
   - Die Erstellung eines RfCs kann durch unterschiedliche Personen oder Teams erfolgen, wie z.B. der Requestor selbst, KISTERS-Stellen oder externe Partner.
   - Der Requestor muss dabei das erforderliche Formular in dem KISTERS-Ticket ausfüllen und das Ticket mit einer Beschreibung des geplanten Change einreichen.

2. **Evaluation**:
   - Die Evaluierung eines RfCs ist eine wichtige Phase im Change-Management-Prozess. Sie umfasst mehrere Schritte, darunter:
     - Analyse der geforderten Änderung
     - Überprüfung der Rechtfertigung und Begründung für die geplante Änderung
     - Risikobewertung: Prüfen von möglichen Folgen oder Auswirkungen auf Informationssicherheit und Datenverlust

3. **Planung**:
   - In diesem Schritt wird das Projekt detailliert geplant, einschließlich der Einrichtung eines Teams für die Implementierung.

4. **Implementierung (Fulfillment)**:
   - Die Umsetzung der Änderungen nach Absprache mit den relevanten Beteiligten.

5. **Nachbearbeitung (Post-processing)**:
   - Die letzte Phase des Change-Managements umfasst eine Überprüfung der nachgelagerten Arbeitsprozesse, die Auswirkungen auf alle beteiligten Parteien und die Bewertung von Verbesserungsmaßnahmen. 

Diese Schritte sind ein wesentlicher Bestandteil des Change-Management-Prozesses bei KISTERS.",Change Management – 3 Change Management Process / 3.2 Tasks
Wie unterscheidet sich ein „Service Request“ von einem „Standard Change“?,"Nachdem ich die bereitgestellten Dokumente geprüft habe, kann ich sagen, dass ein ""Service Request"" (SR) und ein ""Standard Change"" (SC) in dem bereitgestellten Kontext aus den folgenden Dokumenten definiert sind:

- Ein Service Request ist eine formelle Anfrage eines Benutzers oder Kunden für die Erbringung einer Dienstleistung, wie z.B. eine Information oder Beratung, ein Passwort zurücksetzen oder eine Arbeitsstation für einen neuen Benutzer installieren. SR können ohne weitere Genehmigung bearbeitet werden, da ihr Verarbeitungsprozess Routine und gut dokumentiert ist.
- Ein Standard Change (SC) ist eine standardisierte Änderung an einer Dienstleistung, die frequent vorkommt oder gut beschrieben ist. Hot Fix, Quick Fix oder Workarounds gelten als SC, wenn ihre Implementierung häufig oder gut beschrieben ist. SC beinhalten bekannt geringe Risiken für betroffene Geschäftsprozesse.

In diesem Zusammenhang sind die Hauptunterschiede zwischen einem Service Request und einem Standard Change:

- **Frequenz**: Ein Standard Change (SC) wird frequent vorkommend oder gut beschrieben sein, während ein Service Request (SR) nicht unbedingt häufig ist.
- **Risiko**: Standard Changes beinhalten bekannt geringe Risiken für die betroffenen Geschäftsprozesse. Die genauen Risiken sind nicht im bereitgestellten Kontext spezifiziert, aber sie werden als ""known low risks"" beschrieben.

Insgesamt ist ein Service Request eine formelle Anfrage für Dienstleistungen oder Änderungen an bestehenden Services, während ein Standard Change eine standardisierte und gut beschriebene Änderung einer Dienstleistung darstellt.",Change Management – 3.1.1 Service Request / 3.1.2 Standard Change
Was ist ein „Standard Change“ und warum erfordert er keine gesonderte Freigabe?,"Ein Standard Change ist eine standardisierte Änderung an einem Service, die häufig durchgeführt wird und deren Implementierung klar beschrieben ist. Gemäß dem Dokument KISTERS_IS_ChangeManagement.pdf | Section: 3.1.2 Standard Change erfordert ein Standard Change keine gesonderte Freigabe, da er bekanntes geringes Risiko für die betroffenen Geschäftsprozesse darstellt.",Change Management – 3.1.2 Standard Change
Wann wird eine Änderung als „Major Change“ eingestuft und was bedeutet das für die Planung?,"Eine Änderung wird als ""Major Change"" eingestuft, wenn sie infrequent vorgenommen wird, zum ersten Mal durchgeführt wird oder einen hohen oder unbekannten Risikoanteil für das Unternehmen aufweist. Ihre Implementierung kann nicht im Detail vorweggenommen werden. Ihre Implementierung ist nicht hochzeitkritisch und kann daher geplant werden.

Eine Major Change erfordert sorgfältige Planung und muss von der CAB (Change Advisory Board) genehmigt werden, bevor sie durchgeführt wird. Eine Major Change kann als Standardänderung in Zukunft umgesetzt werden, wenn alle Bedingungen für eine Standardänderung erfüllt sind.

Quelle: KISTERS_IS_ChangeManagement.pdf | Section 3.1.3 Major Change",Change Management – 3.1.3 Major Change
Was ist ein „Emergency Change“ und wann ist dieser Typ zulässig?,"Ein Emergency Change ist eine Art von Änderung, die als Major Change deklariert werden kann, aber deren Umsetzung aufgrund einer Notwendigkeit (z.B. bei einem kritischen Ausfall) dringend erforderlich ist und nicht warten kann. Die Umsetzung eines Emergency Change kann ohne vorherige Genehmigung erfolgen, muss jedoch nachträglich durch die ECAB genehmigt werden.

Die Voraussetzungen für einen Emergency Change sind:

- Der Anlass für den Emergency Change muss eine Notwendigkeit darstellen (z.B. Ausfall einer kritischen Infrastruktur).
- Die Umsetzung des Emergency Change muss dringend erforderlich sein, um kritische Systeme wieder in Betrieb zu nehmen.

Die Genehmigung eines Emergency Change erfolgt nachträglich durch die ECAB und wird dokumentiert.",Change Management – 3.1.4 Emergency Change
Welche Ticket-Systeme werden bei KISTERS für Changes und Support verwendet und wer nutzt welche Plattform?,"Nach dem Dokument ""KISTERS_IS_ChangeManagement.pdf"" sind folgende Ticket-Systeme bei KISTERS für Changes und Support verwendet:

* Jira Service Management (für Client-Support)
* Jira Software (für die Support- und Entwicklung von Software)
* KISTERS Bugzilla (im laufenden Betrieb, wird aber sukzessive durch die beiden Jira-Systeme ersetzt)

Die Plattformen werden wie folgt genutzt:

* Clients nutzen Jira Service Management als Service Desk für ihre Anliegen
* Partner und Mitarbeiter von KISTERS können in verschiedenen Rollen (Reporter, Assignee, QA-Contact) an der Ticket-Verwaltung teilnehmen

Quelle: ""KISTERS_IS_ChangeManagement.pdf"" | Section 4.1 Jira Ticket Systems",Change Management – 4.1 Jira Ticket Systems (Jira Service Management / Jira Software)
"Was versteht KISTERS unter den wichtigsten Ticket-Begriffen wie „Issue/Ticket“, „Key“, „Reporter“ und „Assignee“?","Laut der Dokumentation ""KISTERS_IS_ChangeManagement.pdf"" im Abschnitt 4.2 Terminology sind die wichtigsten Ticket-Begriffe wie folgt definiert:

*   Issue/Ticket: Ein Bug oder eine Anfrage, ein Problem oder eine Änderungsvorschlag.
*   Key: Die einzigartige Identifizierungsnummer eines Issues oder Tickets in Jira.
*   Reporter: Der KISTERS-Mitarbeiter, der den Ticket erstellt und die Anfrage bereitstellt.
*   Assignee: Der Person, der für das Ticket verantwortlich ist.

Diese Definitionen sind wichtig für das Verständnis der Ticket-Verwaltung im KISTERS-Ticket-System.",Change Management – 4.2 Terminology
Wie wird der Bearbeitungsstatus eines Tickets im Workflow abgebildet und warum ist das wichtig?,"Nachdem ich mich durch die bereitgestellten Dokumente gearbeitet habe, kann ich Ihnen folgende Informationen zur Verfügung stellen:

Der Bearbeitungsstatus eines Tickets wird im Workflow durch verschiedene Statuswerte abgebildet. Dies ist in der Tabelle ""5.1 Ticket Status Workflow"" aus dem Dokument ""KISTERS_IS_ChangeManagement.pdf"" zu finden.

| Status                                    | Description                                                                                                    |
|-------------------------------------------|----------------------------------------------------------------------------------------------------------------|
| NEW                                       | Ticket hat been created                                                                                        |
| REOPENED                                  | Ticket has been reopened after initial resolution                                                              |
| ASSIGNED / READY (DOR)                    | Ticket has been reviewed and is accepted by assignee for processing                                            |
| PROCESSING / IN PROGRESS                  | Assignee works on Ticket                                                                                       |
| NEED INTERNAL INFOR- MATION / NEEDS INPUT | Assignee ist waiting for (KISTERS-) internal information                                                        |
| WAIT FOR CUSTOMER / NEEDS INPUT           | Assignee is waiting for information from partner or client                                                     |
| RESOLVED                                  | Ticket has been resolved by assignee, to be verified                                                           |
| VERIFIED                                  | Ticket resolution has been verified                                                                            |
| SHIPPED                                   | Artefacts of Ticket resolution have been shipped to client or have been deployed to internal production system |
| CLOSED / APPROVED                         | Ticket closed after confirmation by reporter or final assignee                                                 |

Der Bearbeitungsstatus eines Tickets ist wichtig, um den aktuellen Status des Tickets und die erforderlichen Aktionen zu verfolgen. Dies ermöglicht es den Beteiligten, effektiv auf das Ticket zu reagieren und sicherzustellen, dass alle notwendigen Schritte ausgeführt werden.

Ich hoffe, diese Informationen helfen Ihnen weiter!",Change Management – 5.1 Ticket Status Workflow
"Welche Unterschiede bestehen zwischen den Rollen „Reporter“, „Assignee“, „QA Contact“ und „Watcher“ in einem Ticket?","Laut der Dokumentation KISTERS_IS_ChangeManagement.pdf [1] besitzen Partner erweiterte Zugriffsrechte im Vergleich zu Kunden, einschließlich der Möglichkeit, Tickets zu bearbeiten. Im Ticket-System können Reporter, Kommentatoren und Beobachter aufgelistet sein. Für einen Partner ist die Rolle des Reporters von wesentlicher Bedeutung.

Der Berichterstatter (Reporter) erstellt das Ticket im KISTERS-Ticket-System [2]. Er beschreibt den Antragten Wunsch aus seiner Rolle, z.B. Manager, Administrator, Support oder Benutzer einer Software-Lösung, eines Systems oder einer Dienstleistung. Im Verfahren ist der Reporter der Änderungsanforderer selbst wenn das Ticket durch einen Partner oder Kunde erstellt wurde.

Der Assignee (Zuteilung) wird ein Ticket zugeordnet und ist damit für dessen Bearbeitung verantwortlich. Er ist für die Bewertung des Tickets, die Ermittlung eventuell benötigter Informationen vom Reporter, die Entscheidung über Annahme oder Ablehnung des Tickets, das Überprüfen der Priorität des Tickets, die Festlegung eines Fristtermins (zwingend für Hoch und Höchster Stufe), die Bereitstellung eines Ersatzes oder Workaround, gegebenenfalls die Planung der Ticketbearbeitung durch Setzen von Deadline, Plan Datum und Zielmikrosmilestone sowie ggf. das Erstellen weiterer Tickets als Blockierungen wenn die Bearbeitung des Tickets weitere Änderungen erfordert.

Der Quality Assurance Contact (QA Kontakt) ist für die Überprüfung der Ticketbearbeitung verantwortlich. Er wird vom System automatisch mit dem letzten aktivem Assignee nach Beendigung markiert und setzt sicher, dass alle Anforderungen von Tickets erfüllt sind.

Beobachter (Watcher) können auf einem Ticket aufgeführt werden, wenn sie sich für den Fortgang eines Tickets interessieren. Sie erhalten eine Benachrichtigung, sobald das Ticket einen neuen Status erreicht oder ein Kommentar hinzugefügt wird.

Die Rollen der Beobachter und des Qa-Kontakt haben keine Einfluss auf die Bearbeitung von Tickets, sondern lediglich Informationsfunktion für externe Personen.",Change Management – 5.2 Roles and Responsibilities in KISTERS Ticket Systems
Welche minimalen Inhalte muss ein Change-Ticket enthalten?,"Laut dem Dokument ""KISTERS_IS_ChangeManagement.pdf"" | Section: 6.2 Ticket Information Content ist in einem Change-Ticket folgende minimale Informationen enthalten:

- Beschreibung des Incidents/Problems/Bugs, Erweiterung oder Dienstleistungsanfrage
- Schritte zur Wiederholung (falls anwendbar)
- Beobachtetes Verhalten und erwartete Verhaltensweise (falls anwendbar)
- Alle anderen relevanten Informationen, die bei der Ticket-Erstellung verfügbar sind",Change Management – 6.2 Ticket Content
Welche Informationen müssen unbedingt in einem Change-Ticket enthalten sein?,"Laut dem Dokument ""KISTERS_IS_ChangeManagement.pdf | Section: 6.2 Ticket Information Content"" muss ein Change-Ticket mindestens folgende Informationen enthalten:

* Beschreibung der Änderung
* Quelle der Information
* Risikobewertung, wenn dies angemessen ist
* Anweisungen zum Abhilfe des Problems

Darüber hinaus müssen alle Ticket mit ""Höchster"" oder ""Hoher"" Priorität einen festen Termin für die Fälligkeit haben.",Change Management – 6.2 Ticket Information Content
"Welche Informationen müssen inhaltlich mindestens in einem Ticket stehen, damit die Änderung sauber dokumentiert ist?","Nach der Dokumentation ""KISTERS_IS_ChangeManagement.pdf"" im Abschnitt 6.2 Ticket Information Content gibt es folgende obligatorische Informationen, die in einem Ticket enthalten sein müssen:

* Die Ticket-Priorität (Form-Datenfeld)
* Die geplante Frist für die Ticket-Behebung (Form-Datenfeld)

Darüber hinaus wird empfohlen, dass Tickets einen ausführlichen Beschreibung der Änderung oder des Problems enthalten sollten.

Quelle: KISTERS_IS_ChangeManagement.pdf | Abschnitt 6.2 Ticket Information Content",Change Management – 6.2 Ticket Information Content
Wie wird die Ticket-Priorität „Highest (Emergency)“ verwendet und was bedeutet sie für Reaktions- und Lösungszeiten?,"Die Ticket-Priorität ""Highest (Emergency)"" soll mit großer Vorsicht verwendet werden. Tickets mit dieser Priorität müssen sofort bearbeitet werden, um eine Ausfallzeit zu minimieren. Dies gilt besonders in Fällen, in denen wichtige Funktionen oder Systeme nicht zur Verfügung stehen. 

Laut dem Dokument ""KISTERS_IS_ChangeManagement.pdf"" im Abschnitt 6.3.1 Priority 'Highest (Emergency)' ist der Umgang mit dieser Priorität wie folgt beschrieben: ""Tickets with Priority 'Highest (Emergency)' by definition have highest priority as they do represent absolute emergencies and MUST be resolved without undue delay."" [1] 

Darüber hinaus wird erwähnt, dass Tickets dieser Priorität sehr störend für den Geschäftsprozess sein können. Die genauen Reaktions- und Lösungszeiten richten sich nach dem spezifischen Szenario und der damit verbundenen Notwendigkeit schneller Aktion. 

In vielen Fällen sind Tickets mit dieser Priorität innerhalb einer Woche zu lösen (siehe Tabelle 6.3 Ticket Priority im Dokument ""KISTERS_IS_ChangeManagement.pdf""). Die genauen Details hängen jedoch von den spezifischen Umständen und dem betreffenden Projekt ab.",Change Management – 6.3.1 Priority “Highest (Emergency)”
Wie orientieren sich die Ziel-Lösungszeiten (Target Resolution Time) an der Ticket-Priorität?,"Laut dem Dokument ""KISTERS_IS_ChangeManagement.pdf | Section: 6.3 Target Resolution Time"" werden die Ziel-Lösungszeiten (Target Resolution Time) wie folgt mit der Ticket-Priorität in Beziehung gesetzt:

- Für Tickets mit Priorität High oder Highest sollte eine bestimmte Due Date festgelegt sein.
- Bei Abweichungen von der default Due Date sollten Gründe dokumentiert werden.

In Tabelle 6.3 ist zu sehen, dass Tickets mit Priorität High oder Highest eine Ziel-Lösungszeit von 1 Woche haben, während Tickets mit Priorität Medium eine Ziel-Lösungszeit von 3 Monaten und Tickets mit Priorität Low eine Ziel-Lösungszeit von 6 Monaten haben.

Es scheint also, dass die Ziel-Lösungszeiten an der Ticket-Priorität orientiert sind.",Change Management – 6.3.2 Target Resolution Time
Welche Informationspflichten bestehen im Change-Management-Prozess – wen muss ich über welche Änderungen informieren?,"Laut dem Dokument ""KISTERS_IS_ChangeManagement.pdf"" | Section: 7 Information Obligation müssen alle potenziell betroffenen Stakeholder über Änderungen informiert werden. Die Informationspflichten sind wie folgt definiert:

* KISTERS ISMT: Alle RfCs mit potenziellem Einfluss auf die Informationssicherheit oder den Datenschutz
* KISTERS Board: RfCs, die wahrscheinlich signifikante Geschäftsziele von KISTERS beeinflussen
* KISTERS BU-Managers: RfCs, die eine bestimmte Lösung, Prozess oder Team innerhalb eines Geschäftsbereichs betreffen
* Head KISTERScloud: RfCs, die den Betrieb von KISTERScloud beeinträchtigen
* KISTERScloud-Servicenutzer: RfCs, die eine bestimmte KISTERScloud-Systeme betreffen
* Beteiligten an Geschäftsprozessen und/oder Benutzern von betroffenen Systemen: Änderungen von Prozessabläufen oder der Nutzung oder Schnittstellen von Systemen
* Betroffene Dritte als Teilnehmer an Geschäftsprozessen und/oder Benutzer von betroffenen Systemen: RfCs, die individuelle oder mehrere KISTERScloud-Systeme betreffen, Nutzer externer Schnittstellen, Partner usw.

Es ist also wichtig, alle potenziell betroffenen Stakeholder über Änderungen zu informieren und sie in den Prozess einzubinden.",Change Management – 7 Information Obligation
Was ist ein „Standard Change“ und warum benötigt er keine zusätzliche Freigabe?,"Ein Standard Change ist eine standardisierte Änderung an einem Service, die häufig durchgeführt wird und deren Implementierung klar beschrieben ist. Gemäß dem Dokument KISTERS_IS_ChangeManagement.pdf | Section: 3.1.2 Standard Change benötigt ein Standard Change keine zusätzliche Freigabe, da er als bekannter geringer Risiko für die betroffenen Geschäftsprozesse gilt.

(Die Antwort basiert auf dem bereitgestellten Kontext, insbesondere auf dem Abschnitt ""3.1.2 Standard Change"" im Dokument KISTERS_IS_ChangeManagement.pdf.)",Change Management Guideline – 3.1.2 Standard Change
Was ist das Ziel eines Audits im Kontext von ISMS und BCMS?,"Laut der KISTERS_IS_Framework.pdf, Abschnitt 9.2 Internal audits [3] sind die Ziele eines Audits folgende:

*   Die Bewertung des Informationssicherheits-Managements-Systems (ISMS) und der integrierten Business Continuity Management System (BCMS)
*   Die Überprüfung der Umsetzung von Maßnahmen gemäß den Kontrollen des ISO/IEC 27001, einschließlich Kontrollen aus ISO/IEC 27017, ISO/IEC 27018, ISO/IEC 27019 und ISO/IEC 27701, soweit anwendbar
*   Die Überprüfung der Umsetzung von Maßnahmen gemäß den Kontrollen des ISO 22301 und BSI 200-4
*   Die Überprüfung der Einhaltung anderer Normen oder regulatorischer Anforderungen (z.B. GDPR, TÜV TSI, SOC 2)
*   Die Überprüfung der Betriebsfortführungs- und Notfallmanagementmaßnahmen, einschließlich Übungen zum Notfallmanagement und zur Wiederherstellungskatastrophe
*   Die Überprüfung der Maßnahmen des Lieferantenmanagements (vendo r audits durch oder auf Veranlassung von KISTERS)",IS/BCM Audit Guideline – 1.1 Motivation and Objectives
Worin unterscheiden sich Major Deviation und Minor Deviation?,"Eine Major Deviation ist eine erhebliche Nichtkonformität mit den relevanten Anforderungen, die das Erreichen der erforderlichen Ziele des unter Untersuchung stehenden Prozesses beeinträchtigen kann. Sie kann auch auftreten, wenn mehrere geringfügige Abweichungen von einem Anforderung vorliegen oder wenn das Problem zu einer Systemversagens führen könnte.

Eine Minor Deviation hingegen ist eine Nichtkonformität, die nicht selbst das Erreichen der Ziele des unter Untersuchung stehenden Prozesses beeinträchtigen würde. Sie muss innerhalb eines bestimmten Zeitraums korrigiert werden und wird in vielen Fällen bei der nächsten Audit durchgeführt.",IS/BCM Audit Guideline – 2.4.1 / 2.4.2 Findings Types
Wie wird ein Audit-Finding im Ticketsystem dokumentiert?,"Laut dem Dokument ""KISTERS_IS_Audits.pdf"" (Section 3 Management of audit findings) müssen alle Audit-Findings (Abweichungen und Verbesserungsmöglichkeiten) hinsichtlich KISTERS als verantwortliche Partei in dem KISTERS-Ticketsystem dokumentiert und verfolgt werden. Alle entsprechenden Nachbesetzungsmaßnahmen müssen gemäß der ""KISTERS IS Richtlinie Change Management"" [4] verfolgt werden.

Quelle: Dokument ""KISTERS_IS_Audits.pdf"" (Section 3 Management of audit findings)",IS/BCM Audit Guideline – 3.1 Organization of Audit Tickets
