Frage,Antwort,Referenz
Welche besonderen Befugnisse hat die BCM-ERO in Bezug auf finanzielle Mittel im Notfall?,"Nachdem wir uns den bereitgestellten Kontext angegesehen haben, können wir diese Frage beantworten:

In Abschnitt 7.1 ""Measures Required for Transfer"" des Dokuments KISTERS_BCM_1-BCHandbook.pdf steht: 

""... Maßnahmen nach Absatz 1 sollen den Stand der Technik einhalten, die einschlägigen europäischen und internationalen Normen berücksichtigen und müssen auf einem gefahrenübergreifenden Ansatz beruhen.""

Dieser Abschnitt beschreibt die allgemeinen Maßnahmen für die Übertragung von Zuständigkeiten im Notfall, aber er spricht nicht explizit über besondere Befugnisse der BCM-ERO in Bezug auf finanzielle Mittel.

In Abschnitt 9.1 ""Rules of Procedure"" des Dokuments KISTERS_BCM_1-BCHandbook.pdf steht: 

""... Die Maßnahmen nach § 30 BSIG (Bundesinformations- und Sicherheitsgesetz) werden ebenfalls umgesetzt.""

Dieser Abschnitt spricht über die Umsetzung der Maßnahmen des BSIG, aber es gibt keine spezifischen Informationen über besondere Befugnisse der BCM-ERO in Bezug auf finanzielle Mittel.

Nach dem Studium des bereitgestellten Kontexts kann ich sagen, dass es keine expliziten Informationen zu besonderen Befugnissen der BCM-ERO in Bezug auf finanzielle Mittel im Notfall gibt. Ich kann diese Frage daher nicht aus dem bereitgestellten Kontext beantworten.

Wenn Sie weitere Fragen haben oder mehr über den bereitgestellten Kontext erfahren möchten, stehe ich Ihnen gerne zur Verfügung.",BCM Handbook – 9.1.2 Disposal of Financial Resources
Welche grundsätzlichen Verhaltensregeln (Code of Conduct) gelten für Mitglieder der Emergency Response Organisation?,"Laut dem Dokument ""KISTERS_BCM_1-BCHandbook.pdf"" im Abschnitt 9.1.4 Code of Conduct gibt es folgende grundsätzliche Verhaltensregeln:

1. Die EMT sollte ihre Arbeitsmethoden auf der bestehenden Notfallplan basieren. Wenn kein Notfallplan oder ein nicht wirksamer besteht, sollten die Arbeitsmethoden auf dem FOR-DEC-Management-Zyklus basieren.
2. Die EMT hat Arbeit- und Treffenphasen (Situationstreffen). Diese müssen klar definiert und allen EMT-Mitgliedern mitgeteilt werden.

Daher lautet die Antwort:

Laut dem Dokument ""KISTERS_BCM_1-BCHandbook.pdf"" im Abschnitt 9.1.4 Code of Conduct gelten folgende grundsätzliche Verhaltensregeln für Mitglieder der Emergency Response Organisation:
- Die EMT sollte ihre Arbeitsmethoden auf der bestehenden Notfallplan basieren.
- Die EMT hat Arbeit- und Treffenphasen (Situationstreffen), die klar definiert und allen EMT-Mitgliedern mitgeteilt werden müssen.",BCM Handbook – 9.1.4 Code of Conduct
Welche Kommunikationsmittel nutzt KISTERS im Notfall?,"Nach dem Dokument ""KISTERS_BCM_1-BCHandbook.pdf"" | Section: 9.2 Communication Media lautet die Antwort:

Die folgenden Kommunikationsmittel können im Notfall verwendet werden:

* Videokonferenz mit MS M365 Teams (extern)
* E-Mail über MS M365 Exchange (extern) oder Mimecast Email Security (extern)
* Ticket-System über Atlassian Cloud JIRA (extern)
* Öffentliche Website über Google Cloud KISTERS Main Web Page (extern)

Zusätzlich werden im Dokument ""KISTERS_BCM_9-EP-Internal_IT-Communication.pdf"" | Section: 1.4 Resource(s) considered weitere Kommunikationsmittel erwähnt, darunter das Telefon-System und die Ticket-Systeme.

Quelle: [8] Document: KISTERS_BCM_1-BCHandbook.pdf | Section: 9.2 Communication Media",BCM Handbook – 9.2 Communication Media
Welche Kommunikationsmedien sind für die Notfallkommunikation vorgesehen und wo finde ich eine Übersicht dazu?,"Laut dem Dokument KISTERS_BCM_1-BCHandbook.pdf, Abschnitt 9.2 Communication Media, sind folgende Kommunikationsmedien für die Notfallkommunikation vorgesehen:

* Telefon
* E-Mail
* Ticket-System (Atlassian Cloud JIRA)
* Öffentliche Website (Google Cloud KISTERS Main Web Page)

Eine Übersicht über diese Kommunikationsmedien und deren Alternativen findest du in Tabelle 30 im Dokument KISTERS_BCM_1-BCHandbook.pdf, Abschnitt 9.2 Communication Media.

Außerdem ist es ratsam, sich mit den Notfallkontakten bekannt zu machen, die in LoED (Library of Emergency Documents) und auf der Website des BSI verfügbar sind.",BCM Handbook – 9.2 Communication Media
Warum benötigt KISTERS einen formalen Change-Management-Prozess und welche Ziele werden damit verfolgt?,"Laut der Dokumentation ""KISTERS_IS_ChangeManagement.pdf"" benötigt KISTERS einen formalen Change-Management-Prozess, um die Veränderungen von IT-Systemen, Software-Anwendungen, Diensten und Prozessen im Rahmen des Geschäftsbetriebs zu steuern und zu kontrollieren. Mit diesem Prozess sollen bestimmte Ziele erreicht werden, wie zum Beispiel:

* Die Prävention von Degradationen der Sicherheitsstandards
* Die Vermeidung unerwünschter Überschneidungen von Änderungen
* Die Verbesserung der Effizienz und Agilität im Geschäftsbetrieb
* Die Gewährleistung, dass Änderungen mit minimaler Investition in Zeit, Personalkosten und anderen begrenzten Ressourcen durchgeführt werden können.

Quelle: ""KISTERS_IS_ChangeManagement.pdf"" | Section 1.1 Motivation und Ziele",Change Management – 1.1 Motivation and Objectives
Auf welche Systeme und Prozesse bezieht sich die Change-Management-Richtlinie (Scope)?,"Die Change-Management-Richtlinie (Scope) der KISTERS AG betrifft alle IT-Systeme und -Prozesse, die intern und extern zur Verfügung stehen. Dazu gehören:

* IT-Infrastruktur und -Dienste für KISTERScloud
* IT-Infrastruktur und -Dienste für KISTERS Support Services
* Softwareentwicklung bei KISTERS

In der Richtlinie heißt es: ""Diese Richtlinie ist auf alle Arten von Veränderungen anwendbar, unabhängig davon, ob sie aus einer Neuerung oder Verbesserung technischer oder prozessualer Umstände entstehen."" (Quelle: KISTERS_IS_ChangeManagement.pdf, Abschnitt 1.2 Scope der Richtlinie)

In der Tabelle des Inhaltsverzeichnisses im selben Dokument wird explizit erwähnt, dass die Change-Management-Richtlinie sich auf alle IT-Systeme und -Dienste bezieht, die intern oder extern zur Verfügung stehen.",Change Management – 1.2 Scope of this Guideline
Welche Rolle hat das (E)CAB bei Major Changes?,"Laut Dokument: KISTERS_IS_ChangeManagement.pdf, Section 3.2 Tasks ist das Hauptziel des (E)CABs die Genehmigung von Risikobewertungen, Prioritäten, Spezifikationen und Umsetzungsplänen für Major Changes.

Die Rolle des (E)CAB bei Major Changes umfasst auch:

* Die Genehmigung der Umsetzung des Change
* Die Überprüfung der Vollständigkeit der Stakeholder und die Überprüfung ihrer Rückmeldungen (falls erforderlich)

Das Dokument besagt jedoch nicht explizit, dass das (E)CAB bei Major Changes eine bestimmte Rolle hat. Es wird lediglich erwähnt, dass sie an der Genehmigung von Risikobewertungen und Prioritäten beteiligt ist.

Es wäre hilfreich, wenn Sie mich um weitere Informationen bitten würden, damit ich Ihnen genauere Antworten geben kann.",Change Management – 1.3 Roles (E)CAB
Welche Aufgaben übernimmt das (E)CAB bei Major Changes?,"Laut dem Dokument ""KISTERS_IS_ChangeManagement.pdf | Section: 3.2 Tasks"" [1] haben das CAB und ECAB folgende Aufgaben:

* Review RfC und Implementation mit Manager
* Durchführung und Dokumentation der Risikoanalyse (im Ticket), wenn eine bekannte Schwachstelle nicht behoben werden kann
* Genehmigung oder Ablehnung der Implementierung der Änderung

Bei Major Changes gibt es jedoch keine explizite Beschreibung der Aufgaben des (E)CAB in diesem Dokument. Allerdings wird erwähnt, dass die (E)CAB '(Emergency) Change Advisory Board' nur für Major- und Emergency-Changes erforderlich ist.

Ich kann also nicht genau sagen, welche Aufgaben das (E)CAB bei Major Changes übernimmt.","Change Management – 1.3 Roles, Responsibilities (E)CAB"
Wer kann einen „Request for Change“ anstoßen und welche Rolle hat der „System owner“ dabei?,"Nach dem Dokument KISTERS_IS_ChangeManagement.pdf, Abschnitt 3.2.1 Creation (*1), kann jeder, der ein gültiges Konto für das Ticket-System besitzt, einen ""Request for Change"" (RfC) anstoßen. Dies umfasst alle KISTERS-Mitarbeiter sowie autorisierte KISTERS-Kunden, Partner und Subunternehmer (""Authorized Users"").

Der System owner spielt eine wichtige Rolle bei der Verwaltung von RfCs. Nach Abschnitt 3.2 Tasks ist der System owner für die Bewertung des RfCs verantwortlich und hat das letzte Wort bei der Entscheidung, ob der RfC akzeptiert oder abgelehnt wird.

Zusätzlich gibt es auch andere Rollen, die an der Verwaltung von RfCs beteiligt sind, wie z.B. den Change Manager, den Implementer usw., aber der System owner ist eine wichtige Rolle dabei.","Change Management – 1.3 Roles, Responsibilities and Dependencies"
Welche Rolle hat das (E)CAB bei Major und Emergency Changes?,"Laut dem Dokument ""KISTERS_IS_ChangeManagement.pdf | Section: 3.1.4 Emergency Change"" ist ein Emergency Change eine Major Change, deren Implementierung zeitkritisch ist und nicht aufgeschoben werden kann, da jede Verzögerung zu einem unerträglichen hohen Schaden oder Verlust führen würde.

Das (E)CAB ist bei Major und Emergency Changes für die Entscheidungen über den Implementierungszeitpunkt verantwortlich. Es besteht aus Mitgliedern der Change Advisory Boards, die von dem Change Manager auf kurzen Notice einberufen werden können.

Gemäß ""KISTERS_IS_ChangeManagement.pdf | Section: 3.2 Tasks"" ist eine Major Change eine Änderung, die infrequent durchgeführt wird oder ein hohes oder unbekanntes Risiko für das Unternehmen darstellt. Eine Emergency Change ist dagegen eine Major Change mit zeitkritischer Implementierung.

Das (E)CAB trifft Entscheidungen über den Implementierungszeitpunkt für beide Arten von Änderungen, aber es muss auch retroaktiv die Implementierung einer Emergency Change genehmigen, sobald dies möglich ist.","Change Management – 1.3 Roles, Responsibilities and Dependencies (E)CAB"
"Welche rechtlichen Anforderungen gelten für Change Management (ISO 27001, SOC2, C5 etc.)?","Laut dem Dokument KISTERS_IS_ChangeManagement.pdf, Abschnitt 1.4 Anwendbare gesetzliche und regulatorische Vorschriften [1] ist Change Management ein grundlegendes Erfordernis für die Einhaltung von ISO 27001, SOC 2, BSI C5 usw. KISTERS hat sich in individuellen Verträgen mit Kunden dazu verpflichtet, die Einhaltung von einem oder mehreren dieser Sicherheitsstandards sicherzustellen und aufrechtzuerhalten oder den in den Verträgen geforderten Standards entsprechen zu müssen.

Darüber hinaus erfordert der KISTERS_IS_Documentation.pdf, Abschnitt 1.4 Anwendbare gesetzliche und regulatorische Vorschriften [3], dass das Management von Dokumenten ein grundlegendes Erfordernis für die Einhaltung von ISO 27001, SOC 2, BSI C5 usw. ist.

Die KISTERS_BCM_9-EP-Internal_IT-Infrastructure.pdf, Abschnitt 11.2 Einschränkungen zu beachten besagt, dass externe Rechenzentren nur dann verwendet werden dürfen, wenn sie in Deutschland liegen und die DSGVO eingehalten wird.

Darüber hinaus erfordert der KISTERS_BCM_9-EP-Internal_IT-Infrastructure.pdf, Abschnitt 11.2 Einschränkungen zu beachten, dass externe Rechenzentren nur dann verwendet werden dürfen, wenn sie in Deutschland liegen und die DSGVO eingehalten wird.

Die genannten Dokumente stellen klar, dass für Change Management (ISO 27001, SOC2, C5 etc.) die Einhaltung gesetzlicher und regulatorischer Vorschriften erforderlich ist.",Change Management – 1.4 Legal Requirements
"Was wird in diesem Kontext als „Change“ verstanden, also welche Arten von Änderungen fallen darunter?","Laut dem Dokument ""KISTERS_IS_ChangeManagement.pdf | Section: 2 Definition of Changes"" [1] wird unter Change jede Änderung im Sinne einer Hinzufügung, Modifizierung oder eines Entfernens von Komponenten verstanden, die in den Anwendungsbereich fallen. Dazu gehören:

- Änderungen an der Hardware-Infrastruktur wie Clients, Servern, Netzwerkkomponenten oder ihrer Konfiguration
- Änderungen an Betriebssystemen oder Anwendungssoftware, einschließlich KISTERS-Lösungen
- Änderungen von Infrastrukturnebenelementen wie physikalischer Zugriffssysteme, Lufttechnik, Stromversorgung, Überwachung und Alarm-Systemen
- Änderungen automatisierter oder dokumentierter Verfahren
- Dokumentationsänderungen
- Änderungen anderer Komponenten, die unter der Konfigurationsverwaltung fallen.

Die Entscheidung zur Ausführung einer Änderung muss durch das Abwägen der Notwendigkeit der Änderung und ihrer potenziellen Chancen und Risiken bestimmt werden. Die Änderungsverwaltungsrichtlinie stellt somit einen effizienten Ansatz für die Genehmigung von Änderungen mit minimalen Risiken bereit.",Change Management – 2 Definition of Changes
Welche Schritte umfasst der allgemeine Change-Management-Prozess von der Erstellung bis zur Nachbearbeitung eines Requests for Change (RfC)?,"Der allgemeine Change-Management-Prozess, wie er im Dokument ""KISTERS_IS_ChangeManagement.pdf"" beschrieben ist, umfasst die folgenden Schritte:

1.  **Erstellung**:
    *   Die Erstellung eines RfCs wird durch einen Authorized User oder KISTERS-Stammpersonal ausgelöst.
    *   Der Requestor muss den RfC in der Ticket-Systeme erstellen und dabei das erforderliche Format verwenden.
2.  **Evaluierung**:
    *   Der Owner überprüft, ob die Anforderung gültig ist und ob sie dem Change-Management-Prozess entspricht.
    *   Bei einer positiven Bewertung wird der RfC zur weiteren Bearbeitung bereitgestellt.
3.  **Implementierung**:
    *   Der Owner überprüft, ob die erforderlichen Genehmigungen vorliegen und prüft die technischen Aspekte.
    *   Im Falle einer positiven Bewertung wird der RfC zur Implementierung bereitgestellt.
4.  **Nachbearbeitung**:
    *   Der Requestor wird über den Status des RfCs informiert, wenn es sich um einen RfC mit kleiner Bearbeitungszeit handelt.
    *   Im Falle von RfCs mit langer Bearbeitungszeit wird der Requestor regelmäßig über den Stand informiert und gegebenenfalls über die Verlängerung des Bearbeitungszeitraums.
5.  **Abschluss**:
    *   Nach erfolgreicher Implementierung des geänderten Produkts oder Service wird der RfC abgeschlossen.

Der allgemeine Change-Management-Prozess umfasst auch nach der Abschlussphase, dass das Ergebnis bewertet und zur Verbesserung des Prozesses genutzt werden muss. Dieser Schritt ist im Dokument ""KISTERS_IS_ChangeManagement.pdf"" unter dem Eintrag ""3.2 Tasks"", ""Creation"" zu finden.

Die nachbearbeitenden Schritte sind ebenfalls wichtig für die Bewertung der Effektivität und Einführung von Verbesserungen.",Change Management – 3 Change Management Process / 3.2 Tasks
Wie unterscheidet sich ein „Service Request“ von einem „Standard Change“?,"Nach dem Dokument ""KISTERS_IS_ChangeManagement.pdf"" | Section: 3.1.1 Service Request und Section: 3.1.2 Standard Change ist der wesentliche Unterschied zwischen einem Service Request und einem Standard Change, dass ein Standard Change eine geplante Veränderung eines Dienstes ist, die routinemäßig ausgeführt wird, während ein Service Request eine Anfrage von einem Benutzer oder Kunden ist, der für etwas bereitgestellt werden soll.

In anderen Worten: Ein Service Request ist eine formelle Anfrage, die von einem Benutzer oder Kunden eingereicht wird, während ein Standard Change eine geplante Veränderung eines Dienstes ist, die routinemäßig durchgeführt wird.",Change Management – 3.1.1 Service Request / 3.1.2 Standard Change
Was ist ein „Standard Change“ und warum erfordert er keine gesonderte Freigabe?,"Ein ""Standard Change"" ist eine standardisierte Änderung an einem Service, die häufig durchgeführt wird und deren Implementierung klar beschrieben ist. [1] Standard Changes gelten als sicher für die betroffenen Geschäftsprozesse und können ohne weitere Genehmigung bearbeitet werden. 

Quelle: KISTERS_IS_ChangeManagement.pdf | Section: 3.1.2 Standard Change",Change Management – 3.1.2 Standard Change
Wann wird eine Änderung als „Major Change“ eingestuft und was bedeutet das für die Planung?,"Eine Änderung wird als ""Major Change"" eingestuft, wenn sie selten durchgeführt wird, zum ersten Mal oder ein hohes oder unbekanntes Risiko für das Unternehmen birgt. Die Implementierung kann nicht in Einzelheiten vorher beschrieben werden. Sie ist nicht stark zeitkritisch und kann daher geplant werden.

Die Umsetzung einer Major Change erfordert sorgfältige Planung und muss von der CAB (Change Advisory Board) genehmigt werden, bevor sie durchgeführt werden kann.",Change Management – 3.1.3 Major Change
Was ist ein „Emergency Change“ und wann ist dieser Typ zulässig?,"Ein ""Emergency Change"" ist eine dringende Änderung, die aufgrund einer unvorhergesehenen Situation oder eines schwerwiegenden Problems durchgeführt werden muss, um Schaden zu verhindern oder bereits entstandenen Schaden schnellstmöglich abzumildern. Dieser Typ der Änderung ist zulässig, wenn die Durchführung einer solchen Maßnahme zeitkritisch ist und ohne sofortige Umsetzung eine unannehmbare Belastung oder ein erheblicher Schaden droht.

Ein Emergency Change kann beispielsweise durchgeführt werden, um:

- Einbrechendes Sicherheitsrisiko abzuwenden
- Eine laufende Ablaufstörung zu beheben
- Eine laufende Systemstörung schnellstmöglich auszuschalten

Bei einem Emergency Change sind die üblichen Prozessschritte zur Umsetzung einer Änderung, wie z.B. die Zustimmung durch das Emergency Change Advisory Board (ECAB) und die Anmeldung bei dem KISTERS TICKET SYSTEM, abgeschnitten. Der Emergency Change ist ein Zeitdruck von hoher Dringlichkeit, der den Normalbetrieb stören kann, aber unbedingt erforderlich ist, um weiteren Schaden zu verhindern oder einzuschränken.

Es ist wichtig zu beachten, dass alle notwendigen Maßnahmen nach einer Emergency Change so schnell wie möglich nachgearbeitet werden müssen.",Change Management – 3.1.4 Emergency Change
Welche Ticket-Systeme werden bei KISTERS für Changes und Support verwendet und wer nutzt welche Plattform?,"Laut dem Dokument ""KISTERS_IS_ChangeManagement.pdf"" (Abschnitt 4.1 Jira Ticket Systems) werden von KISTERS die folgenden Ticket-Systeme für Changes und Support verwendet:

* Jira Service Management (für clientenbezogenen Support)
* Jira Software (für internen Support und Entwicklung)

Laut dem Dokument ""KISTERS_BCM_9-EP-Internal_IT-Communication.pdf"" (Abschnitt 1.4 Resource(s) considered) wird auch das Bugzilla-Ticket-System genutzt.

Die Nutzergruppen und ihre Zugriffsrechte auf die verschiedenen Ticket-Systeme sind wie folgt:

* KISTERS-Mitarbeiter: haben Zugriff auf alle Ticket-Systeme, einschließlich der Einstellung von Tickets und der Bearbeitung von Support-Anfragen.
* Kunden: können Tickets erstellen und bearbeiten, aber haben keinen Zugriff auf die internen Funktionen wie die Einstellung von Tickets oder die Überprüfung von Support-Anfragen.
* Partner: haben Zugriff auf alle Ticket-Systeme, einschließlich der Einstellung von Tickets und der Bearbeitung von Support-Anfragen.

Ich hoffe, das hilft!",Change Management – 4.1 Jira Ticket Systems (Jira Service Management / Jira Software)
"Was versteht KISTERS unter den wichtigsten Ticket-Begriffen wie „Issue/Ticket“, „Key“, „Reporter“ und „Assignee“?","Laut dem Dokument ""KISTERS_IS_ChangeManagement.pdf | Section: 4.2 Terminology"" versteht KISTERS die folgenden wichtigen Ticket-Begriffe so:

* „Issue/Ticket“ bezeichnet einen Bug oder eine Eintrittsfallbericht, eine Anforderung für Dienstleistungen, Änderung oder Aktion, Epik, Benutzererzählung, Auditsumme, Vulnerabilitätsbericht, Aktionanforderung, Aufgabe und UnterAufgabe usw.
* Der „Key“ ist die einzigartige Identifizierung eines Issues oder einer Ticket in Jira.
* Der „Reporter“ ist der Benutzer, der das Ticket erstellt hat. Er beschreibt die Anfrage aus seiner Perspektive, z.B. als Manager, Administrator, Unterstützungsbereich oder Benutzer einer Software-Lösung, System oder Dienstleistung.
* Der „Assignee“ ist der Benutzer, der für die Fortschritte des Ticket-Resolutions verantwortlich ist. Er kann sich während des Lebenszyklus eines Tickets ändern, je nachdem welche Schritte zur Lösung des Problems erforderlich sind.

Quelle: Dokument ""KISTERS_IS_ChangeManagement.pdf | Section: 4.2 Terminology"".",Change Management – 4.2 Terminology
Wie wird der Bearbeitungsstatus eines Tickets im Workflow abgebildet und warum ist das wichtig?,"Laut dem Dokument ""KISTERS_IS_ChangeManagement.pdf"" | Section: 5.1 Ticket Status Workflow gibt es einen definierten Workflow, um den Bearbeitungsstatus eines Tickets darzustellen.

Der Workflow besteht aus verschiedenen Statuswerten, wie z.B. NEW, REOPENED, ASSIGNED / READY (DOR), PROCESSING / IN PROGRESS usw. Dieser Workflow wird verwendet, um die verschiedenen Schritte im Ticketbearbeitungsprozess zu definieren und zu überwachen.

Das ist wichtig, weil es ein standardisiertes System bietet, um den Bearbeitungsstatus eines Tickets genau und klar darzustellen. Somit kann jeder Mitarbeiter des Teams den aktuellen Status von Tickets sehen und sich schnell auf die aktuelle Situation einlassen.

Zusätzlich wird in diesem Dokument beschrieben, dass der Workflow für jeden Service Desk und jedes Softwareentwicklungsprojekt definiert werden kann, um es an die spezifischen Anforderungen anzupassen.

Quelle: KISTERS_IS_ChangeManagement.pdf | Section: 5.1 Ticket Status Workflow",Change Management – 5.1 Ticket Status Workflow
"Welche Unterschiede bestehen zwischen den Rollen „Reporter“, „Assignee“, „QA Contact“ und „Watcher“ in einem Ticket?","Nachstehend die Antwort auf deine Frage:

Die Rollen ""Reporter"", ""Assignee"", ""QA Contact"" und ""Watcher"" haben unterschiedliche Aufgaben und Zuständigkeiten in einem Ticket.

Der Reporter ist der Person, der das Ticket erstellt. Der Reporter beschreibt den geforderten Change aus seiner Perspektive, z.B. als Manager, Administrator, Supporter oder Benutzer einer Software-Lösung, System oder Dienstleistung [5.2.2 Reporter].


Der Assignee ist die Person, die mit der Bearbeitung des Tickets betraut ist und es löst. Der Assignee kann auch der Defaul-Assignee sein, wenn kein anderer Assigniert wurde [5.2.3 Assignee].


Ein QA Contact (falls zugewiesen) ist die Testmanagerin/der Testmanager und verantwortlich für die Überprüfung der Ticketlösung, sobald das Ticket als ""RESOLVED"" durch den letzten aktiven Assignee markiert wurde. Der Default-QA-Contact ist definiert für jeden Component eines Produkts [5.2.4 QA Contact (falls zugewiesen)].


Ein Watcher ist eine Person, die über Änderungen am Ticket informiert werden möchte. Watcher können Reporter, Asignee oder auch andere Personen sein [6.2 Ticket Information Content].",Change Management – 5.2 Roles and Responsibilities in KISTERS Ticket Systems
Welche minimalen Inhalte muss ein Change-Ticket enthalten?,"Ein Change-Ticket muss gemäß den Richtlinien von KISTERS AG folgende minimale Inhalte enthalten:

* Projekt (Form)
* Type (Form)
* Key (automatisch generiert)
* Creation Date (automatisch generiert)

Diese Informationen sind laut dem Dokument ""KISTERS_IS_ChangeManagement.pdf | Section: 6.2 Ticket Information Content"" der wichtigsten Teile eines Tickets und müssen vom entsprechenden Verantwortlichen bereitgestellt werden.

Quelle: KISTERS_IS_ChangeManagement.pdf | Section: 6.2 Ticket Information Content [1]",Change Management – 6.2 Ticket Content
Welche Informationen müssen unbedingt in einem Change-Ticket enthalten sein?,"Laut den dokumentierten Richtlinien [1] für das Ticket-Management der KISTERS AG, müssen folgende Informationen unbedingt in einem Change-Ticket enthalten sein:

* Eine Beschreibung des Problems oder der Anforderung
* Schritte zur Reproduktion (falls anwendbar)
* Beobachtetes und erwartetes Verhalten (falls anwendbar)
* Alle anderen relevanten Informationen, die bei Ticket-Erstellung verfügbar sind

Zusätzlich empfehlen sich folgende Informationen:

* Eine kurze Beschreibung der Lösung oder des Workarounds
* Risiken im Zusammenhang mit der Umsetzung der vorgeschlagenen Lösung
* Konsequenzen für den Fall, dass die vorgeschlagene Lösung nicht umgesetzt wird
* Details zur implementierten Ticket-Lösung (z.B. Änderungen an Konfiguration, Software oder Hardware)
* Auswirkungsanalyse und Risikobewertung auf die Informationssicherheit (falls anwendbar)

Es ist wichtig zu beachten, dass diese Informationen nicht alle erforderlich sind, aber als Mindestanforderungen empfohlen werden.",Change Management – 6.2 Ticket Information Content
"Welche Informationen müssen inhaltlich mindestens in einem Ticket stehen, damit die Änderung sauber dokumentiert ist?","Um eine Änderung sauber zu dokumentieren, sollten folgende Informationen mindestens in einem Ticket enthalten sein:

* Beschreibung der Änderung
* Schritte zur Durchführung der Änderung
* Beobachtete und erwartete Verhaltensweisen (falls anwendbar)
* Alle anderen relevanten Informationen zum Zeitpunkt der Ticket-Erstellung

Quelle: Document: KISTERS_IS_ChangeManagement.pdf | Section: 6.2 Ticket Information Content",Change Management – 6.2 Ticket Information Content
Wie wird die Ticket-Priorität „Highest (Emergency)“ verwendet und was bedeutet sie für Reaktions- und Lösungszeiten?,"Laut dem Dokument ""KISTERS_IS_ChangeManagement.pdf"" | Section: 6.3.1 Priority 'Highest (Emergency)' ist die Priorität 'Highest (Emergency)' mit äußerster Vorsicht zu verwenden. Tickets mit dieser Priorität haben höchste Priorität und müssen unverzüglich gelöst werden, ohne unnötige Verzögerung.

Laut dem Dokument ""KISTERS_IS_ChangeManagement.pdf"" | Section: 6.3 Ticket Priority wird die Priorität 'Highest (Emergency)' verwendet, wenn beispielsweise eine Anwendung nicht mehr benutzt werden kann oder kritische Prozesse gestört sind. Tickets mit dieser Priorität müssen innerhalb einer Woche gelöst werden.

Die Reaktionszeit für Tickets mit Priorität 'Highest (Emergency)' ist laut dem Dokument ""KISTERS_IS_ChangeManagement.pdf"" | Section: 6.3 Ticket Priority 1 Woche, die Lösungszeit ebenfalls 1 Woche.

Es ist zu beachten, dass Tickets mit dieser Priorität besonders aufmerksam behandelt werden müssen und alle verfügbaren Ressourcen auf die Lösung des Problems konzentriert werden sollten.",Change Management – 6.3.1 Priority “Highest (Emergency)”
Wie orientieren sich die Ziel-Lösungszeiten (Target Resolution Time) an der Ticket-Priorität?,"Die Ziel-Lösungszeiten (Target Resolution Time) sind in den KISTERS-Dokumenten wie folgt definiert:

* Für Tickets mit Priorität ""Highest (Emergency)"" beträgt die Target Resolution Time 1 Woche [1].
* Für Tickets mit Priorität ""High"" beträgt die Target Resolution Time 1 Monat [2].
* Für Tickets mit Priorität ""Medium"" beträgt die Target Resolution Time 3 Monate [2].
* Für Tickets mit Priorität ""Low"" beträgt die Target Resolution Time 6 Monate [2].
* Für Tickets mit Priorität ""Lowest"" beträgt die Target Resolution Time 12 Monate [2].

Es ist jedoch wichtig zu beachten, dass diese Ziel-Lösungszeiten nur als Richtlinien dienen und sich an die spezifischen Bedürfnisse und Umstände der einzelnen Ticket-Situationen anpassen müssen.",Change Management – 6.3.2 Target Resolution Time
Welche Informationspflichten bestehen im Change-Management-Prozess – wen muss ich über welche Änderungen informieren?,"Nach dem Dokument ""KISTERS_IS_ChangeManagement.pdf | Section: 7 Information Obligation"" müssen Sie bei Änderungen, die eine potenzielle Auswirkung auf die Informationssicherheit oder den Datenschutz haben, alle betroffenen Stakeholder informieren. Dazu gehören:

* KISTERS ISMT
* KISTERS Board bei Änderungen, die wahrscheinlich die Geschäftsziele von KISTERS beeinflussen
* BU-Manager bei Änderungen, die ein bestimmtes Produkt, Prozess oder Team innerhalb eines Geschäftsbereichs betreffen
* Head KISTERScloud bei Änderungen, die den Betrieb von KISTERScloud beeinflussen
* KISTERScloud service owner bei Änderungen, die ein bestimmtes KISTERScloud-System betreffen
* Internationale Teilnehmer an Geschäftsprozessen und/oder Benutzer betroffener Systeme bei Änderungen, die Prozessabläufe oder den Einsatz oder Schnittstellen von Systemen beeinflussen
* Betroffene Dritte als Teilnehmer an Geschäftsprozessen und/oder Benutzer betroffener Systeme, einschließlich Dritter, wenn Änderungen einzelne oder mehrere KISTERScloud-Systeme beeinflussen",Change Management – 7 Information Obligation
Was ist ein „Standard Change“ und warum benötigt er keine zusätzliche Freigabe?,"Laut dem Dokument ""KISTERS_IS_ChangeManagement.pdf | Section: 3.1.2 Standard Change"" [ID nicht vorhanden] ist ein ""Standard Change"" eine standardisierte Änderung an einem Service, die häufig durchgeführt wird und deren Implementierung klar beschrieben ist. Hotfix, Quick Fix oder Workarounds gelten als Standard Change, wenn ihre Implementierung häufig und/oder klar beschrieben ist.

Ein Standard Change benötigt keine zusätzliche Freigabe, da er eine standardisierte Änderung darstellt, die bekanntermaßen einen niedrigen Risikostellenwert für die betroffenen Geschäftsprozesse aufweist.",Change Management Guideline – 3.1.2 Standard Change
